2026-02-24 04:19:54 | INFO     | agent.vision_element_detector       | Detection done: 26 elements in 2.39s
2026-02-24 04:20:09 | INFO     | agent.appium_manager                | 👆 CLICK (Appium): (918, 508) duration=0.1s
2026-02-24 04:20:10 | INFO     | agent.appium_manager                | ⏳ WAIT: 2.0s
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   YOLO inference: 0.187s — 33 boxes
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_1: 0.037s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_2: 0.048s — '30 Sale'
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_3: 0.018s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_4: 0.045s — '202 Sale'
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_5: 0.016s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_6: 0.048s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_7: 0.022s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_8: 0.018s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_9: 0.035s — '4d 21h'
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_10: 0.023s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_11: 0.024s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_12: 0.022s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_13: 0.045s — ''
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_14: 0.036s — 'SALEI'
2026-02-24 04:20:14 | DEBUG    | agent.vision_element_detector       |   OCR element_15: 0.023s — '3)'
